Score, Film Name, Year, Date Rated, Mini Review, URL, IMDB ID
100,"Amadeus",1984,"Oct 28 2011, 09:58","",https://www.criticker.com/film/Amadeus/,tt0086879
100,"American Beauty",1999,"Oct 27 2011, 19:57","",https://www.criticker.com/film/American-Beauty/,tt0169547
100,"Arrival",2016,"Jan 15 2017, 21:00","",https://www.criticker.com/film/Arrival-2016/,tt2543164
100,"Back to the Future",1985,"Oct 28 2011, 09:57","",https://www.criticker.com/film/Back-to-the-Future/,tt0088763
100,"Back to the Future Part III",1990,"Oct 27 2011, 20:44","",https://www.criticker.com/film/Back-to-the-Future-Part-1990/,tt0099088
100,"Band of Brothers",2001,"Jul 20 2016, 19:21","",https://www.criticker.com/tv/Band-of-Brothers/,tt0185906
100,"Blade Runner",1982,"Oct 28 2011, 10:00","",https://www.criticker.com/film/Blade-Runner/,tt0083658
100,"Breaking Bad",2008,"Nov 19 2016, 17:55","",https://www.criticker.com/tv/Breaking-Bad/,tt0903747
100,"Cinema Paradiso",1988,"Oct 28 2011, 09:52","",https://www.criticker.com/film/Cinema-Paradiso/,tt0095765
100,"Cowboy Bebop",1998,"Nov 19 2016, 17:52","",https://www.criticker.com/tv/Cowboy-Bebop/,tt0213338
100,"Dead Poets Society",1989,"Oct 27 2011, 21:07","",https://www.criticker.com/film/Dead-Poets-Society/,tt0097165
100,"Firefly",2002,"Nov 19 2016, 17:53","",https://www.criticker.com/tv/Firefly/,tt0303461
100,"Forrest Gump",1994,"Oct 27 2011, 20:32","",https://www.criticker.com/film/Forrest-Gump/,tt0109830
100,"The Godfather",1972,"Aug 08 2012, 17:54","",https://www.criticker.com/film/The-Godfather/,tt0068646
100,"Good Will Hunting",1997,"Oct 27 2011, 20:10","",https://www.criticker.com/film/Good-Will-Hunting/,tt0119217
100,"Groundhog Day",1993,"Oct 27 2011, 20:35","",https://www.criticker.com/film/Groundhog-Day/,tt0107048
100,"The Lord of the Rings: The Fellowship of the Ring",2001,"Oct 27 2011, 19:26","",https://www.criticker.com/film/The-Lord-of-the-Rings-2001/,tt0120737
100,"The Lord of the Rings: The Return of the King",2003,"Oct 27 2011, 11:20","",https://www.criticker.com/film/The-Lord-of-the-Rings-2003/,tt0167260
100,"The Matrix",1999,"Oct 27 2011, 19:54","",https://www.criticker.com/film/The-Matrix/,tt0133093
100,"The Office",2005,"Jan 15 2021, 14:00","",https://www.criticker.com/tv/The-Office-2005/,tt0386676
